ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2024,11,ASCOPE,PAIJAN,Extorsión,27812,175.1,9,8,9.67,0,8,2.876,MEDIO
2024,11,ASCOPE,PAIJAN,Hurto,27812,175.1,9,8,9.33,-5,4,1.438,MEDIO
2024,11,ASCOPE,PAIJAN,Robo,27812,175.1,8,7,6.0,2,7,2.517,MEDIO
2024,11,ASCOPE,PAIJAN,Violencia contra la mujer e integrantes,27812,175.1,14,9,13.67,10,13,4.674,MEDIO
2024,11,PATAZ,PARCOY,Extorsión,24813,81.6,0,0,0.33,1,1,0.403,BAJO
2024,11,PATAZ,PARCOY,Hurto,24813,81.6,0,4,2.0,-6,2,0.806,BAJO
2024,11,PATAZ,PARCOY,Violencia contra la mujer e integrantes,24813,81.6,6,5,5.67,5,5,2.015,MEDIO
2024,11,PATAZ,PATAZ,Hurto,9372,20.7,5,3,3.0,0,4,4.268,MEDIO
2024,11,PATAZ,PATAZ,Robo,9372,20.7,0,0,0.33,1,2,2.134,BAJO
2024,11,PATAZ,PATAZ,Secuestro,9372,20.7,0,0,0.0,2,2,2.134,BAJO
2024,11,TRUJILLO,POROTO,Hurto,3020,10.9,1,2,1.33,1,1,3.311,BAJO
2024,11,CHEPEN,PUEBLO NUEVO,Extorsión,15393,56.9,3,3,3.67,0,1,0.65,BAJO
2024,11,CHEPEN,PUEBLO NUEVO,Hurto,15393,56.9,2,2,2.33,-4,1,0.65,BAJO
2024,11,CHEPEN,PUEBLO NUEVO,Robo,15393,56.9,6,5,4.0,1,3,1.949,BAJO
